Team,Match Up,Game Date,Season,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF
PHX,PHX vs. CHA,01/06/2019,,L,240,113,43,83,51.8,10,25,40.0,17,19,89.5,3,33,36,23,8,4,15,25
CHA,CHA @ PHX,01/06/2019,,W,240,119,44,91,48.4,7,25,28.0,24,34,70.6,14,32,46,22,9,1,15,21
CHI,CHI vs. BKN,01/06/2019,,L,240,100,41,88,46.6,7,18,38.9,11,15,73.3,11,33,44,20,6,4,14,15
BKN,BKN @ CHI,01/06/2019,,W,240,117,42,83,50.6,16,46,34.8,17,22,77.3,6,32,38,29,6,3,10,16
CHA,CHA @ DEN,01/05/2019,,L,240,110,39,82,47.6,11,29,37.9,21,26,80.8,12,35,47,22,7,4,17,18
DEN,DEN vs. CHA,01/05/2019,,W,240,123,47,102,46.1,14,39,35.9,15,20,75.0,17,29,46,30,10,6,8,19
SAC,SAC vs. GSW,01/05/2019,,L,240,123,46,97,47.4,20,36,55.6,11,14,78.6,14,29,43,34,12,0,8,18
GSW,GSW @ SAC,01/05/2019,,W,240,127,47,93,50.5,21,47,44.7,12,14,85.7,12,35,47,29,5,8,14,16
MIL,MIL vs. TOR,01/05/2019,,L,240,116,40,81,49.4,14,37,37.8,22,27,81.5,4,34,38,29,9,2,16,20
TOR,TOR @ MIL,01/05/2019,,W,240,123,42,82,51.2,14,31,45.2,25,31,80.6,4,34,38,28,9,6,11,22
HOU,HOU @ POR,01/05/2019,,L,240,101,39,84,46.4,13,38,34.2,10,12,83.3,10,30,40,13,6,5,12,22
POR,POR vs. HOU,01/05/2019,,W,240,110,43,94,45.7,9,28,32.1,15,20,75.0,17,30,47,27,7,2,9,11
DET,DET vs. UTA,01/05/2019,,L,240,105,39,82,47.6,11,25,44.0,16,20,80.0,5,39,44,18,7,2,18,23
UTA,UTA @ DET,01/05/2019,,W,240,110,39,82,47.6,7,21,33.3,25,32,78.1,7,35,42,24,12,6,12,23
NOP,NOP @ CLE,01/05/2019,,W,240,133,47,81,58.0,14,27,51.9,25,29,86.2,10,34,44,29,13,7,15,18
CLE,CLE vs. NOP,01/05/2019,,L,240,98,36,88,40.9,12,33,36.4,14,18,77.8,10,24,34,22,12,3,20,23
SAS,SAS vs. MEM,01/05/2019,,W,240,108,36,73,49.3,7,22,31.8,29,35,82.9,3,40,43,26,10,3,17,19
MEM,MEM @ SAS,01/05/2019,,L,240,88,31,82,37.8,11,28,39.3,15,19,78.9,8,34,42,21,12,3,21,29
DAL,DAL @ PHI,01/05/2019,,L,240,100,38,88,43.2,9,31,29.0,15,23,65.2,9,40,49,27,4,3,15,23
PHI,PHI vs. DAL,01/05/2019,,W,240,106,39,83,47.0,6,26,23.1,22,33,66.7,8,41,49,31,7,5,10,20
BKN,BKN @ MEM,01/04/2019,,W,240,109,36,79,45.6,13,34,38.2,24,26,92.3,8,37,45,25,6,2,20,19
MEM,MEM vs. BKN,01/04/2019,,L,240,100,42,93,45.2,5,24,20.8,11,15,73.3,8,32,40,23,9,5,14,24
MIN,MIN vs. ORL,01/04/2019,,W,240,120,47,91,51.6,9,26,34.6,17,23,73.9,10,44,54,29,6,2,11,20
ORL,ORL @ MIN,01/04/2019,,L,240,103,42,88,47.7,9,27,33.3,10,19,52.6,5,30,35,28,7,7,11,20
MIL,MIL vs. ATL,01/04/2019,,W,240,144,55,100,55.0,14,40,35.0,20,28,71.4,12,42,54,36,11,8,14,26
ATL,ATL @ MIL,01/04/2019,,L,240,112,37,85,43.5,14,41,34.1,24,35,68.6,5,26,31,26,11,3,21,23
POR,POR vs. OKC,01/04/2019,,L,240,109,41,95,43.2,9,31,29.0,18,21,85.7,11,39,50,30,6,5,12,17
OKC,OKC @ POR,01/04/2019,,W,240,111,40,94,42.6,8,25,32.0,23,26,88.5,11,38,49,18,9,6,11,21
MIA,MIA vs. WAS,01/04/2019,,W,240,115,44,91,48.4,9,29,31.0,18,25,72.0,11,37,48,28,7,6,17,18
WAS,WAS @ MIA,01/04/2019,,L,240,109,42,98,42.9,10,36,27.8,15,19,78.9,10,31,41,24,8,2,12,18
UTA,UTA @ CLE,01/04/2019,,W,240,117,42,82,51.2,14,35,40.0,19,22,86.4,8,39,47,28,6,9,11,19
CLE,CLE vs. UTA,01/04/2019,,L,240,91,32,82,39.0,11,21,52.4,16,17,94.1,7,32,39,14,6,1,13,21
BOS,BOS vs. DAL,01/04/2019,,W,240,114,42,96,43.8,21,45,46.7,9,11,81.8,14,39,53,35,12,4,13,16
DAL,DAL @ BOS,01/04/2019,,L,240,93,34,88,38.6,11,44,25.0,14,19,73.7,11,38,49,16,9,2,14,13
PHX,PHX vs. LAC,01/04/2019,,L,240,111,41,77,53.2,9,19,47.4,20,27,74.1,7,18,25,24,13,9,17,26
LAC,LAC @ PHX,01/04/2019,,W,240,121,43,84,51.2,10,24,41.7,25,32,78.1,16,27,43,31,12,7,20,27
IND,IND @ CHI,01/04/2019,,W,265,119,49,93,52.7,9,28,32.1,12,17,70.6,9,31,40,25,7,3,13,17
CHI,CHI vs. IND,01/04/2019,,L,265,116,47,91,51.6,12,28,42.9,10,13,76.9,8,32,40,30,10,2,18,23
NYK,NYK @ LAL,01/04/2019,,W,240,119,37,99,37.4,11,37,29.7,34,41,82.9,13,43,56,20,12,4,6,20
LAL,LAL vs. NYK,01/04/2019,,L,240,112,43,98,43.9,11,37,29.7,15,20,75.0,12,43,55,23,4,7,17,27
SAC,SAC vs. DEN,01/03/2019,,L,240,113,45,90,50.0,13,31,41.9,10,15,66.7,7,26,33,25,5,3,8,23
DEN,DEN @ SAC,01/03/2019,,W,240,117,41,89,46.1,14,39,35.9,21,30,70.0,16,38,54,24,3,3,14,20
SAS,SAS vs. TOR,01/03/2019,,W,240,125,47,85,55.3,13,27,48.1,18,20,90.0,8,36,44,32,7,0,13,19
TOR,TOR @ SAS,01/03/2019,,L,240,107,39,87,44.8,6,30,20.0,23,29,79.3,9,30,39,21,9,6,10,23
HOU,HOU @ GSW,01/03/2019,,W,265,135,45,99,45.5,21,54,38.9,24,28,85.7,13,35,48,30,8,5,11,20
GSW,GSW vs. HOU,01/03/2019,,L,265,134,53,102,52.0,14,37,37.8,14,15,93.3,9,38,47,33,8,6,15,19
DET,DET @ MEM,01/02/2019,,W,240,101,36,83,43.4,16,40,40.0,13,22,59.1,7,35,42,23,7,3,10,17
MEM,MEM vs. DET,01/02/2019,,L,240,94,36,78,46.2,4,18,22.2,18,21,85.7,8,36,44,21,2,5,12,22
WAS,WAS vs. ATL,01/02/2019,,W,240,114,43,92,46.7,11,29,37.9,17,23,73.9,10,38,48,29,10,2,10,20
ATL,ATL @ WAS,01/02/2019,,L,240,98,40,95,42.1,10,31,32.3,8,13,61.5,13,37,50,26,5,6,14,19
DAL,DAL @ CHA,01/02/2019,,W,240,122,44,95,46.3,18,45,40.0,16,18,88.9,12,45,57,31,9,4,12,14
CHA,CHA vs. DAL,01/02/2019,,L,240,84,32,90,35.6,6,32,18.8,14,19,73.7,12,34,46,23,4,3,14,20
CLE,CLE vs. MIA,01/02/2019,,L,240,92,34,75,45.3,13,31,41.9,11,13,84.6,2,20,22,23,8,3,13,16
MIA,MIA @ CLE,01/02/2019,,W,240,117,44,86,51.2,16,31,51.6,13,17,76.5,13,34,47,29,8,3,13,13
BOS,BOS vs. MIN,01/02/2019,,W,240,115,45,76,59.2,12,30,40.0,13,15,86.7,3,30,33,34,10,9,16,21
MIN,MIN @ BOS,01/02/2019,,L,240,102,40,84,47.6,7,23,30.4,15,21,71.4,8,26,34,24,7,2,15,16
NOP,NOP @ BKN,01/02/2019,,L,240,121,46,87,52.9,10,23,43.5,19,27,70.4,10,31,41,19,7,5,12,20
BKN,BKN vs. NOP,01/02/2019,,W,240,126,47,93,50.5,16,31,51.6,16,21,76.2,12,31,43,27,7,5,10,23
PHX,PHX vs. PHI,01/02/2019,,L,240,127,43,95,45.3,11,34,32.4,30,36,83.3,13,24,37,22,10,3,15,34
PHI,PHI @ PHX,01/02/2019,,W,240,132,40,74,54.1,11,24,45.8,41,54,75.9,8,36,44,27,9,3,18,30
ORL,ORL @ CHI,01/02/2019,,W,240,112,44,76,57.9,11,26,42.3,13,18,72.2,4,37,41,31,5,9,13,10
CHI,CHI vs. ORL,01/02/2019,,L,240,84,36,86,41.9,7,20,35.0,5,8,62.5,5,27,32,18,8,0,11,17
OKC,OKC @ LAL,01/02/2019,,W,240,107,40,105,38.1,7,31,22.6,20,31,64.5,17,47,64,22,8,5,11,24
LAL,LAL vs. OKC,01/02/2019,,L,240,100,37,89,41.6,7,27,25.9,19,32,59.4,8,46,54,24,8,9,17,26
UTA,UTA @ TOR,01/01/2019,,L,240,116,42,97,43.3,9,32,28.1,23,29,79.3,12,31,43,23,6,4,4,27
TOR,TOR vs. UTA,01/01/2019,,W,240,122,45,82,54.9,7,20,35.0,25,35,71.4,5,40,45,18,4,6,10,21
NYK,NYK @ DEN,01/01/2019,,L,240,108,42,93,45.2,11,27,40.7,13,18,72.2,15,28,43,28,4,3,9,21
DEN,DEN vs. NYK,01/01/2019,,W,240,115,44,95,46.3,12,34,35.3,15,23,65.2,16,37,53,36,7,6,9,19
POR,POR @ SAC,01/01/2019,,W,265,113,39,90,43.3,9,32,28.1,26,30,86.7,10,46,56,22,11,10,19,19
SAC,SAC vs. POR,01/01/2019,,L,265,108,44,115,38.3,11,33,33.3,9,12,75.0,14,39,53,24,13,4,13,23
DET,DET @ MIL,01/01/2019,,L,240,98,35,92,38.0,12,33,36.4,16,21,76.2,14,29,43,23,7,2,14,26
MIL,MIL vs. DET,01/01/2019,,W,240,121,47,79,59.5,10,27,37.0,17,26,65.4,5,38,43,28,7,6,13,19
LAC,LAC vs. PHI,01/01/2019,,L,240,113,42,91,46.2,5,25,20.0,24,34,70.6,12,29,41,18,12,0,13,29
PHI,PHI @ LAC,01/01/2019,,W,240,119,42,87,48.3,12,26,46.2,23,33,69.7,17,38,55,25,7,7,21,28
MIN,MIN @ NOP,12/31/2018,,L,240,114,43,93,46.2,9,28,32.1,19,23,82.6,12,27,39,29,10,9,7,18
NOP,NOP vs. MIN,12/31/2018,,W,240,123,45,87,51.7,14,25,56.0,19,21,90.5,11,33,44,28,3,2,15,21
DAL,DAL @ OKC,12/31/2018,,L,240,102,31,74,41.9,14,38,36.8,26,34,76.5,5,44,49,21,7,3,29,29
OKC,OKC vs. DAL,12/31/2018,,W,240,122,46,103,44.7,6,24,25.0,24,35,68.6,11,35,46,22,13,3,10,30
CHA,CHA vs. ORL,12/31/2018,,W,240,125,42,85,49.4,11,24,45.8,30,33,90.9,6,40,46,29,8,1,8,16
ORL,ORL @ CHA,12/31/2018,,L,240,100,38,92,41.3,10,35,28.6,14,19,73.7,13,35,48,22,6,5,12,21
IND,IND vs. ATL,12/31/2018,,W,240,116,42,84,50.0,11,24,45.8,21,29,72.4,8,31,39,29,13,6,11,18
ATL,ATL @ IND,12/31/2018,,L,240,108,41,95,43.2,13,32,40.6,13,19,68.4,21,32,53,24,8,5,17,23
HOU,HOU vs. MEM,12/31/2018,,W,240,113,31,70,44.3,18,41,43.9,33,45,73.3,7,39,46,19,5,4,14,25
MEM,MEM @ HOU,12/31/2018,,L,240,101,38,82,46.3,6,25,24.0,19,30,63.3,6,33,39,24,11,4,10,31
GSW,GSW @ PHX,12/31/2018,,W,240,132,46,84,54.8,14,28,50.0,26,32,81.3,7,37,44,31,7,8,15,24
PHX,PHX vs. GSW,12/31/2018,,L,240,109,37,85,43.5,9,26,34.6,26,30,86.7,7,31,38,20,7,3,14,29
BOS,BOS @ SAS,12/31/2018,,L,240,111,43,88,48.9,11,34,32.4,14,20,70.0,9,31,40,30,5,8,12,17
SAS,SAS vs. BOS,12/31/2018,,W,240,120,45,91,49.5,14,26,53.8,16,18,88.9,8,35,43,27,6,4,11,17
TOR,TOR vs. CHI,12/30/2018,,W,240,95,34,92,37.0,9,33,27.3,18,20,90.0,17,35,52,17,5,8,12,15
CHI,CHI @ TOR,12/30/2018,,L,240,89,33,80,41.3,7,20,35.0,16,18,88.9,7,37,44,16,7,2,18,16
DAL,DAL vs. OKC,12/30/2018,,W,240,105,37,81,45.7,14,39,35.9,17,22,77.3,9,40,49,21,8,3,24,19
OKC,OKC @ DAL,12/30/2018,,L,240,103,40,93,43.0,9,38,23.7,14,21,66.7,7,32,39,17,15,2,11,23
PHI,PHI @ POR,12/30/2018,,L,240,95,34,96,35.4,8,43,18.6,19,27,70.4,9,27,36,18,15,2,11,21
POR,POR vs. PHI,12/30/2018,,W,240,129,49,83,59.0,12,22,54.5,19,25,76.0,7,52,59,28,2,2,21,22
MIA,MIA vs. MIN,12/30/2018,,L,240,104,37,90,41.1,8,24,33.3,22,28,78.6,17,35,52,19,8,6,20,28
MIN,MIN @ MIA,12/30/2018,,W,240,113,38,94,40.4,8,24,33.3,29,36,80.6,17,32,49,24,11,10,11,22
ORL,ORL vs. DET,12/30/2018,,W,240,109,40,85,47.1,7,24,29.2,22,24,91.7,9,36,45,21,7,4,13,20
DET,DET @ ORL,12/30/2018,,L,240,107,39,92,42.4,8,31,25.8,21,23,91.3,17,34,51,21,6,2,13,21
SAC,SAC @ LAL,12/30/2018,,L,240,114,46,95,48.4,13,34,38.2,9,12,75.0,9,36,45,24,8,5,14,23
LAL,LAL vs. SAC,12/30/2018,,W,240,121,47,98,48.0,15,44,34.1,12,20,60.0,12,38,50,30,7,5,14,17
NOP,NOP vs. HOU,12/29/2018,,L,240,104,41,92,44.6,9,28,32.1,13,17,76.5,8,37,45,25,7,5,15,23
HOU,HOU @ NOP,12/29/2018,,W,240,108,35,81,43.2,16,46,34.8,22,28,78.6,8,31,39,21,9,7,12,20
MEM,MEM vs. BOS,12/29/2018,,L,240,103,36,76,47.4,7,26,26.9,24,29,82.8,8,28,36,24,11,2,17,22
BOS,BOS @ MEM,12/29/2018,,W,240,112,40,80,50.0,16,36,44.4,16,18,88.9,7,29,36,29,10,4,17,24
WAS,WAS vs. CHA,12/29/2018,,W,240,130,48,93,51.6,13,37,35.1,21,24,87.5,9,33,42,35,8,6,12,18
CHA,CHA @ WAS,12/29/2018,,L,240,126,47,90,52.2,13,31,41.9,19,24,79.2,10,31,41,22,9,4,16,29
MIL,MIL vs. BKN,12/29/2018,,W,240,129,47,96,49.0,21,51,41.2,14,16,87.5,5,34,39,30,6,5,11,22
BKN,BKN @ MIL,12/29/2018,,L,240,115,38,79,48.1,15,35,42.9,24,35,68.6,5,35,40,28,6,3,15,17
ATL,ATL vs. CLE,12/29/2018,,W,240,111,43,98,43.9,10,37,27.0,15,25,60.0,17,36,53,27,7,4,13,25
CLE,CLE @ ATL,12/29/2018,,L,240,108,40,85,47.1,5,23,21.7,23,29,79.3,10,34,44,27,9,2,12,23
NYK,NYK @ UTA,12/29/2018,,L,240,97,32,86,37.2,15,32,46.9,18,22,81.8,8,27,35,17,10,1,15,19
UTA,UTA vs. NYK,12/29/2018,,W,240,129,51,93,54.8,16,36,44.4,11,14,78.6,15,45,60,30,8,6,17,27
GSW,GSW @ POR,12/29/2018,,W,240,115,40,80,50.0,12,25,48.0,23,28,82.1,5,37,42,27,9,4,12,18
POR,POR vs. GSW,12/29/2018,,L,240,105,39,91,42.9,9,31,29.0,18,22,81.8,11,35,46,18,6,4,13,17
LAC,LAC vs. SAS,12/29/2018,,L,240,111,36,82,43.9,9,20,45.0,30,38,78.9,7,33,40,22,9,2,18,25
SAS,SAS @ LAC,12/29/2018,,W,240,122,44,87,50.6,6,23,26.1,28,31,90.3,8,41,49,27,10,4,16,25
PHX,PHX vs. DEN,12/29/2018,,L,240,118,49,91,53.8,11,29,37.9,9,14,64.3,12,25,37,29,15,5,13,21
DEN,DEN @ PHX,12/29/2018,,W,240,122,42,76,55.3,18,35,51.4,20,26,76.9,10,30,40,31,10,3,21,20
DAL,DAL @ NOP,12/28/2018,,L,240,112,37,78,47.4,15,32,46.9,23,33,69.7,11,28,39,19,7,6,16,22
NOP,NOP vs. DAL,12/28/2018,,W,240,114,44,96,45.8,4,23,17.4,22,27,81.5,20,29,49,22,7,4,11,28
CHI,CHI @ WAS,12/28/2018,,W,240,101,37,79,46.8,8,22,36.4,19,25,76.0,7,39,46,20,9,6,10,18
WAS,WAS vs. CHI,12/28/2018,,L,240,92,34,85,40.0,9,30,30.0,15,18,83.3,8,32,40,22,7,6,13,18
CHA,CHA vs. BKN,12/28/2018,,W,240,100,41,100,41.0,11,33,33.3,7,10,70.0,12,37,49,19,4,8,9,22
BKN,BKN @ CHA,12/28/2018,,L,240,87,33,83,39.8,4,27,14.8,17,20,85.0,9,39,48,15,4,10,14,20
ATL,ATL @ MIN,12/28/2018,,W,265,123,47,100,47.0,16,35,45.7,13,20,65.0,17,41,58,32,10,6,24,33
MIN,MIN vs. ATL,12/28/2018,,L,265,120,44,98,44.9,11,32,34.4,21,38,55.3,16,31,47,28,14,9,14,26
DEN,DEN vs. SAS,12/28/2018,,W,240,102,39,85,45.9,10,29,34.5,14,17,82.4,16,36,52,29,5,4,20,20
SAS,SAS @ DEN,12/28/2018,,L,240,99,40,89,44.9,8,27,29.6,11,20,55.0,12,26,38,23,14,3,10,19
IND,IND vs. DET,12/28/2018,,W,240,125,53,87,60.9,5,19,26.3,14,20,70.0,7,36,43,33,11,5,13,17
DET,DET @ IND,12/28/2018,,L,240,88,34,91,37.4,9,36,25.0,11,12,91.7,16,28,44,25,7,6,22,22
CLE,CLE @ MIA,12/28/2018,,L,240,94,31,81,38.3,13,37,35.1,19,22,86.4,9,33,42,21,6,2,15,15
MIA,MIA vs. CLE,12/28/2018,,W,240,118,48,91,52.7,10,31,32.3,12,16,75.0,10,35,45,29,8,5,7,21
ORL,ORL vs. TOR,12/28/2018,,W,240,116,44,93,47.3,9,26,34.6,19,22,86.4,11,49,60,29,3,8,15,20
TOR,TOR @ ORL,12/28/2018,,L,240,87,28,95,29.5,12,34,35.3,19,24,79.2,14,27,41,18,4,10,11,21
OKC,OKC @ PHX,12/28/2018,,W,240,118,51,95,53.7,7,20,35.0,9,13,69.2,11,38,49,22,12,4,17,13
PHX,PHX vs. OKC,12/28/2018,,L,240,102,39,90,43.3,9,29,31.0,15,16,93.8,7,27,34,22,12,7,17,18
LAC,LAC @ LAL,12/28/2018,,W,240,118,40,91,44.0,6,19,31.6,32,34,94.1,7,46,53,21,10,4,14,29
LAL,LAL vs. LAC,12/28/2018,,L,240,107,36,87,41.4,11,30,36.7,24,35,68.6,8,42,50,23,5,2,17,22
SAC,SAC vs. LAL,12/27/2018,,W,240,117,45,101,44.6,10,29,34.5,17,21,81.0,16,32,48,25,10,5,15,20
LAL,LAL @ SAC,12/27/2018,,L,240,116,45,88,51.1,10,25,40.0,16,23,69.6,9,37,46,25,7,5,18,19
MIL,MIL vs. NYK,12/27/2018,,W,240,112,42,93,45.2,11,32,34.4,17,21,81.0,11,46,57,20,4,11,15,14
NYK,NYK @ MIL,12/27/2018,,L,240,96,36,97,37.1,13,31,41.9,11,16,68.8,10,33,43,21,8,6,10,20
PHI,PHI @ UTA,12/27/2018,,W,240,114,43,86,50.0,13,35,37.1,15,18,83.3,9,38,47,31,7,7,13,21
UTA,UTA vs. PHI,12/27/2018,,L,240,97,33,86,38.4,11,35,31.4,20,27,74.1,12,32,44,19,11,1,16,19
HOU,HOU vs. BOS,12/27/2018,,W,240,127,41,86,47.7,18,45,40.0,27,35,77.1,16,39,55,17,4,4,13,22
BOS,BOS @ HOU,12/27/2018,,L,240,113,38,81,46.9,12,31,38.7,25,31,80.6,6,31,37,28,9,3,11,22
GSW,GSW vs. POR,12/27/2018,,L,265,109,45,106,42.5,13,44,29.5,6,15,40.0,14,45,59,36,10,9,15,19
POR,POR @ GSW,12/27/2018,,W,265,110,38,105,36.2,13,40,32.5,21,23,91.3,11,43,54,20,7,4,15,18
MEM,MEM vs. CLE,12/26/2018,,W,240,95,36,72,50.0,5,22,22.7,18,24,75.0,3,31,34,22,7,9,13,16
CLE,CLE @ MEM,12/26/2018,,L,240,87,33,93,35.5,9,29,31.0,12,15,80.0,19,34,53,19,9,1,17,21
NOP,NOP @ DAL,12/26/2018,,L,240,119,42,90,46.7,12,27,44.4,23,30,76.7,7,32,39,25,4,2,10,27
DAL,DAL vs. NOP,12/26/2018,,W,240,122,39,81,48.1,12,35,34.3,32,38,84.2,8,38,46,23,3,13,12,25
ATL,ATL vs. IND,12/26/2018,,L,240,121,45,89,50.6,17,36,47.2,14,18,77.8,11,30,41,33,8,6,20,24
IND,IND @ ATL,12/26/2018,,W,240,129,46,83,55.4,13,27,48.1,24,33,72.7,10,29,39,35,13,3,17,17
TOR,TOR @ MIA,12/26/2018,,W,240,106,37,79,46.8,13,30,43.3,19,23,82.6,10,33,43,19,8,2,16,16
MIA,MIA vs. TOR,12/26/2018,,L,240,104,43,83,51.8,12,29,41.4,6,12,50.0,6,29,35,28,10,6,12,17
DET,DET vs. WAS,12/26/2018,,W,240,106,37,80,46.3,14,37,37.8,18,19,94.7,11,35,46,25,8,4,24,20
WAS,WAS @ DET,12/26/2018,,L,240,95,38,83,45.8,9,33,27.3,10,13,76.9,6,25,31,17,14,4,16,21
SAC,SAC @ LAC,12/26/2018,,L,240,118,49,104,47.1,10,30,33.3,10,15,66.7,12,31,43,26,8,10,13,21
LAC,LAC vs. SAC,12/26/2018,,W,240,127,48,96,50.0,12,28,42.9,19,23,82.6,14,36,50,23,7,6,15,20
PHX,PHX @ ORL,12/26/2018,,W,265,122,48,95,50.5,13,24,54.2,13,17,76.5,11,34,45,22,9,9,18,19
ORL,ORL vs. PHX,12/26/2018,,L,265,120,44,96,45.8,14,36,38.9,18,22,81.8,11,31,42,20,11,2,17,18
CHA,CHA @ BKN,12/26/2018,,L,290,132,47,106,44.3,15,31,48.4,23,30,76.7,12,41,53,26,8,3,14,20
BKN,BKN vs. CHA,12/26/2018,,W,290,134,51,104,49.0,19,47,40.4,13,18,72.2,10,47,57,31,8,7,17,26
MIN,MIN @ CHI,12/26/2018,,W,240,119,46,93,49.5,11,32,34.4,16,19,84.2,12,40,52,26,4,1,12,15
CHI,CHI vs. MIN,12/26/2018,,L,240,94,39,95,41.1,6,23,26.1,10,16,62.5,12,33,45,22,6,5,10,21
SAS,SAS vs. DEN,12/26/2018,,W,240,111,42,90,46.7,10,32,31.3,17,22,77.3,7,43,50,29,6,4,10,17
DEN,DEN @ SAS,12/26/2018,,L,240,103,35,90,38.9,18,40,45.0,15,23,65.2,11,36,47,29,10,3,13,17
POR,POR @ UTA,12/25/2018,,L,240,96,35,89,39.3,9,23,39.1,17,26,65.4,11,31,42,20,7,3,12,20
UTA,UTA vs. POR,12/25/2018,,W,240,117,46,83,55.4,13,29,44.8,12,23,52.2,9,40,49,20,7,10,17,19
OKC,OKC @ HOU,12/25/2018,,L,240,109,43,98,43.9,9,30,30.0,14,21,66.7,18,34,52,23,12,11,15,22
HOU,HOU vs. OKC,12/25/2018,,W,240,113,44,97,45.4,14,44,31.8,11,17,64.7,17,37,54,18,9,4,20,25
BOS,BOS vs. PHI,12/25/2018,,W,265,121,45,108,41.7,14,41,34.1,17,20,85.0,13,42,55,21,8,4,9,21
PHI,PHI @ BOS,12/25/2018,,L,265,114,38,92,41.3,15,40,37.5,23,29,79.3,9,47,56,25,6,4,19,21
NYK,NYK vs. MIL,12/25/2018,,L,240,95,35,97,36.1,8,29,27.6,17,21,81.0,15,42,57,17,4,3,14,25
MIL,MIL @ NYK,12/25/2018,,W,240,109,40,89,44.9,6,32,18.8,23,34,67.6,6,45,51,22,9,8,8,19
GSW,GSW vs. LAL,12/25/2018,,L,240,101,38,93,40.9,9,36,25.0,16,21,76.2,7,30,37,28,5,1,14,21
LAL,LAL @ GSW,12/25/2018,,W,240,127,47,85,55.3,13,33,39.4,20,27,74.1,6,43,49,27,5,3,12,20
OKC,OKC vs. MIN,12/23/2018,,L,240,112,43,90,47.8,9,25,36.0,17,22,77.3,9,36,45,17,4,10,14,27
MIN,MIN @ OKC,12/23/2018,,W,240,114,41,83,49.4,14,27,51.9,18,27,66.7,6,34,40,25,9,5,17,23
NOP,NOP @ SAC,12/23/2018,,L,240,117,44,94,46.8,6,26,23.1,23,28,82.1,12,46,58,26,6,9,13,29
SAC,SAC vs. NOP,12/23/2018,,W,240,122,42,100,42.0,14,31,45.2,24,33,72.7,12,38,50,26,9,4,9,21
WAS,WAS @ IND,12/23/2018,,L,240,89,28,76,36.8,9,35,25.7,24,26,92.3,6,31,37,21,8,1,22,18
IND,IND vs. WAS,12/23/2018,,W,240,105,43,97,44.3,9,30,30.0,10,12,83.3,16,41,57,24,12,6,17,25
POR,POR vs. DAL,12/23/2018,,W,265,121,49,104,47.1,11,38,28.9,12,17,70.6,7,46,53,29,5,6,10,26
DAL,DAL @ POR,12/23/2018,,L,265,118,43,103,41.7,12,34,35.3,20,28,71.4,8,41,49,22,1,2,10,20
ATL,ATL @ DET,12/23/2018,,W,240,98,36,91,39.6,6,23,26.1,20,25,80.0,15,39,54,24,9,9,16,25
DET,DET vs. ATL,12/23/2018,,L,240,95,34,83,41.0,10,29,34.5,17,27,63.0,5,36,41,21,6,9,16,25
CHI,CHI @ CLE,12/23/2018,,W,240,112,43,78,55.1,11,22,50.0,15,17,88.2,7,36,43,26,7,3,15,19
CLE,CLE vs. CHI,12/23/2018,,L,240,92,38,84,45.2,7,23,30.4,9,14,64.3,7,24,31,11,5,2,12,20
MIA,MIA @ ORL,12/23/2018,,W,240,115,43,85,50.6,16,31,51.6,13,19,68.4,9,30,39,27,11,3,12,26
ORL,ORL vs. MIA,12/23/2018,,L,240,91,29,70,41.4,10,28,35.7,23,32,71.9,12,28,40,15,4,5,19,19
BOS,BOS vs. CHA,12/23/2018,,W,240,119,43,86,50.0,13,39,33.3,20,25,80.0,11,36,47,30,8,4,14,22
CHA,CHA @ BOS,12/23/2018,,L,240,103,38,88,43.2,8,32,25.0,19,26,73.1,9,28,37,24,9,5,11,17
PHX,PHX @ BKN,12/23/2018,,L,240,103,43,89,48.3,3,17,17.6,14,16,87.5,10,31,41,24,10,5,13,27
BKN,BKN vs. PHX,12/23/2018,,W,240,111,40,85,47.1,10,27,37.0,21,33,63.6,14,35,49,25,7,4,17,15
LAL,LAL vs. MEM,12/23/2018,,L,240,99,37,75,49.3,10,30,33.3,15,22,68.2,6,35,41,27,6,8,16,16
MEM,MEM @ LAL,12/23/2018,,W,240,107,42,90,46.7,14,26,53.8,9,14,64.3,9,34,43,24,9,7,12,20
GSW,GSW vs. LAC,12/23/2018,,W,240,129,42,93,45.2,14,40,35.0,31,36,86.1,15,31,46,22,9,7,7,27
LAC,LAC @ GSW,12/23/2018,,L,240,127,43,80,53.8,18,23,78.3,23,29,79.3,5,37,42,23,1,1,17,25
WAS,WAS vs. PHX,12/22/2018,,W,315,149,56,111,50.5,13,36,36.1,24,27,88.9,17,36,53,40,6,5,22,26
PHX,PHX @ WAS,12/22/2018,,L,315,146,55,115,47.8,11,35,31.4,25,33,75.8,19,31,50,30,14,7,15,28
OKC,OKC @ UTA,12/22/2018,,W,240,107,42,89,47.2,9,25,36.0,14,22,63.6,8,43,51,19,11,5,17,21
UTA,UTA vs. OKC,12/22/2018,,L,240,106,42,93,45.2,11,34,32.4,11,18,61.1,10,34,44,35,12,4,13,19
MIA,MIA vs. MIL,12/22/2018,,W,240,94,34,89,38.2,10,32,31.3,16,23,69.6,11,46,57,22,9,3,12,18
MIL,MIL @ MIA,12/22/2018,,L,240,87,31,84,36.9,9,43,20.9,16,22,72.7,6,42,48,20,6,9,16,19
