Team,Match Up,Game Date,Season,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF
SAC,SAC @ DAL,03/26/2019,,W,240,125,44,87,50.6,10,23,43.5,27,32,84.4,12,25,37,27,4,1,7,23
DAL,DAL vs. SAC,03/26/2019,,L,240,121,39,77,50.6,15,45,33.3,28,32,87.5,7,31,38,27,1,6,11,26
MIL,MIL vs. HOU,03/26/2019,,W,240,108,42,94,44.7,14,34,41.2,10,13,76.9,10,50,60,24,10,6,16,11
HOU,HOU @ MIL,03/26/2019,,L,240,94,36,99,36.4,16,52,30.8,6,7,85.7,8,38,46,17,7,5,13,15
ORL,ORL @ MIA,03/26/2019,,W,240,104,37,89,41.6,14,42,33.3,16,23,69.6,15,40,55,27,5,5,15,19
MIA,MIA vs. ORL,03/26/2019,,L,240,99,36,86,41.9,10,33,30.3,17,21,81.0,6,33,39,25,10,1,12,22
BOS,BOS @ CLE,03/26/2019,,W,240,116,46,91,50.5,10,25,40.0,14,19,73.7,11,35,46,23,8,3,10,21
CLE,CLE vs. BOS,03/26/2019,,L,240,106,39,80,48.8,9,28,32.1,19,25,76.0,3,33,36,24,4,1,15,21
WAS,WAS @ LAL,03/26/2019,,L,240,106,39,90,43.3,6,32,18.8,22,27,81.5,11,28,39,21,5,4,17,20
LAL,LAL vs. WAS,03/26/2019,,W,240,124,48,89,53.9,11,33,33.3,17,23,73.9,13,39,52,37,9,5,19,21
MEM,MEM vs. OKC,03/25/2019,,W,240,115,40,89,44.9,11,33,33.3,24,31,77.4,13,44,57,31,8,3,15,18
OKC,OKC @ MEM,03/25/2019,,L,240,103,38,95,40.0,12,36,33.3,15,20,75.0,12,29,41,17,8,4,10,25
UTA,UTA vs. PHX,03/25/2019,,W,240,125,48,86,55.8,10,21,47.6,19,23,82.6,10,33,43,31,11,4,14,23
PHX,PHX @ UTA,03/25/2019,,L,240,92,31,76,40.8,7,23,30.4,23,28,82.1,9,27,36,12,8,3,22,18
POR,POR vs. BKN,03/25/2019,,W,290,148,53,121,43.8,14,45,31.1,28,36,77.8,16,39,55,35,9,5,5,30
BKN,BKN @ POR,03/25/2019,,L,290,144,49,103,47.6,15,42,35.7,31,44,70.5,15,44,59,25,3,4,16,31
ORL,ORL vs. PHI,03/25/2019,,W,240,119,45,87,51.7,11,29,37.9,18,23,78.3,13,31,44,28,9,2,7,18
PHI,PHI @ ORL,03/25/2019,,L,240,98,36,73,49.3,6,23,26.1,20,26,76.9,6,33,39,20,4,2,15,18
NOP,NOP vs. HOU,03/24/2019,,L,240,90,38,92,41.3,7,28,25.0,7,10,70.0,15,29,44,26,9,3,15,9
HOU,HOU @ NOP,03/24/2019,,W,240,113,42,86,48.8,21,49,42.9,8,9,88.9,13,37,50,24,10,5,19,16
CHA,CHA @ TOR,03/24/2019,,W,240,115,41,93,44.1,18,41,43.9,15,17,88.2,14,25,39,32,12,3,8,17
TOR,TOR vs. CHA,03/24/2019,,L,240,114,45,77,58.4,11,26,42.3,13,13,100,3,32,35,29,6,11,13,17
MIL,MIL vs. CLE,03/24/2019,,W,240,127,48,87,55.2,15,41,36.6,16,21,76.2,4,41,45,26,8,7,9,13
CLE,CLE @ MIL,03/24/2019,,L,240,105,41,96,42.7,11,41,26.8,12,17,70.6,12,33,45,23,6,1,12,21
DEN,DEN @ IND,03/24/2019,,L,240,88,33,93,35.5,7,29,24.1,15,16,93.8,15,26,41,21,5,7,17,17
IND,IND vs. DEN,03/24/2019,,W,240,124,51,91,56.0,8,18,44.4,14,17,82.4,10,39,49,34,9,5,11,17
BOS,BOS vs. SAS,03/24/2019,,L,240,96,38,94,40.4,7,35,20.0,13,16,81.3,11,34,45,23,4,2,8,14
SAS,SAS @ BOS,03/24/2019,,W,240,115,50,98,51.0,8,24,33.3,7,8,87.5,11,40,51,32,1,4,8,19
LAC,LAC @ NYK,03/24/2019,,W,240,124,38,86,44.2,15,35,42.9,33,37,89.2,12,30,42,24,7,4,9,19
NYK,NYK vs. LAC,03/24/2019,,L,240,113,41,86,47.7,9,33,27.3,22,25,88.0,13,31,44,22,5,7,15,24
LAL,LAL vs. SAC,03/24/2019,,W,240,111,39,85,45.9,13,40,32.5,20,24,83.3,9,47,56,29,4,8,22,22
SAC,SAC @ LAL,03/24/2019,,L,240,106,39,104,37.5,14,33,42.4,14,23,60.9,16,34,50,27,13,4,8,22
DET,DET @ GSW,03/24/2019,,L,240,114,39,84,46.4,12,31,38.7,24,25,96.0,10,19,29,25,6,0,8,13
GSW,GSW vs. DET,03/24/2019,,W,240,121,46,74,62.2,13,25,52.0,16,19,84.2,7,30,37,31,3,5,16,23
MEM,MEM vs. MIN,03/23/2019,,L,240,99,36,96,37.5,10,33,30.3,17,22,77.3,20,27,47,22,8,4,15,22
MIN,MIN @ MEM,03/23/2019,,W,240,112,40,83,48.2,12,26,46.2,20,21,95.2,13,36,49,25,7,10,19,20
WAS,WAS vs. MIA,03/23/2019,,L,240,108,41,96,42.7,9,30,30.0,17,23,73.9,21,32,53,25,5,2,12,20
MIA,MIA @ WAS,03/23/2019,,W,240,113,44,88,50.0,12,39,30.8,13,19,68.4,12,32,44,29,5,10,12,23
CHA,CHA vs. BOS,03/23/2019,,W,240,124,42,95,44.2,18,38,47.4,22,28,78.6,14,39,53,26,7,5,11,15
BOS,BOS @ CHA,03/23/2019,,L,240,117,44,93,47.3,19,43,44.2,10,15,66.7,7,35,42,31,6,8,11,23
SAC,SAC vs. PHX,03/23/2019,,W,240,112,39,92,42.4,17,38,44.7,17,22,77.3,13,38,51,25,7,3,14,19
PHX,PHX @ SAC,03/23/2019,,L,240,103,36,88,40.9,9,34,26.5,22,26,84.6,10,33,43,25,10,4,14,21
PHI,PHI @ ATL,03/23/2019,,L,240,127,42,91,46.2,10,23,43.5,33,39,84.6,14,38,52,21,7,4,14,15
ATL,ATL vs. PHI,03/23/2019,,W,240,129,49,106,46.2,15,47,31.9,16,21,76.2,15,34,49,28,8,7,12,25
POR,POR vs. DET,03/23/2019,,W,240,117,43,79,54.4,11,26,42.3,20,27,74.1,11,31,42,22,4,4,13,14
DET,DET @ POR,03/23/2019,,L,240,112,42,84,50.0,14,34,41.2,14,14,100,6,23,29,24,9,3,8,21
UTA,UTA @ CHI,03/23/2019,,W,240,114,46,95,48.4,11,32,34.4,11,15,73.3,12,46,58,27,7,8,12,17
CHI,CHI vs. UTA,03/23/2019,,L,240,83,33,92,35.9,2,16,12.5,15,20,75.0,11,34,45,16,6,3,12,16
DAL,DAL @ GSW,03/23/2019,,W,240,126,44,83,53.0,21,49,42.9,17,22,77.3,8,41,49,33,7,2,10,22
